Quandl Code, Compute z* Score, Observations Used,> 1.96,> 2.58
YAHOO/A,1.1860961358,2520,FALSE,FALSE
YAHOO/AA,0.0273365763,2520,FALSE,FALSE
YAHOO/AAL,-1.102377163,2520,FALSE,FALSE
YAHOO/AAP,1.0364259076,2520,FALSE,FALSE
YAHOO/AAPL,0.7038073906,2520,FALSE,FALSE
YAHOO/ABC,3.4434692483,2520,TRUE,TRUE
YAHOO/ABT,1.3792451019,2520,FALSE,FALSE
YAHOO/ACN,2.322343645,2520,TRUE,FALSE
YAHOO/ADBE,1.9561958924,2520,FALSE,FALSE
YAHOO/ADI,3.5051714689,2520,TRUE,TRUE
YAHOO/ADM,2.8339023098,2520,TRUE,TRUE
YAHOO/ADP,3.3878548071,2520,TRUE,TRUE
YAHOO/ADS,0.8626024508,2520,FALSE,FALSE
YAHOO/ADSK,1.0120879791,2520,FALSE,FALSE
YAHOO/AEE,1.5610322338,2520,FALSE,FALSE
YAHOO/AEP,2.972583966,2520,TRUE,TRUE
YAHOO/AES,3.0820868068,2520,TRUE,TRUE
YAHOO/AET,1.7616787338,2520,FALSE,FALSE
YAHOO/AFL,2.6165661553,2520,TRUE,TRUE
YAHOO/AIG,-1.3695825525,2520,FALSE,FALSE
YAHOO/AIV,2.1884018136,2520,TRUE,FALSE
YAHOO/AIZ,1.9684933076,2520,TRUE,FALSE
YAHOO/AKAM,1.0369537104,2520,FALSE,FALSE
YAHOO/ALL,2.2527275199,2520,TRUE,FALSE
YAHOO/ALXN,1.8590876606,2520,FALSE,FALSE
YAHOO/AMAT,2.1753331333,2520,TRUE,FALSE
YAHOO/AME,1.0540406149,2520,FALSE,FALSE
YAHOO/AMG,1.0840406389,2520,FALSE,FALSE
YAHOO/AMGN,2.0840130433,2520,TRUE,FALSE
YAHOO/AMP,3.6889164216,2520,TRUE,TRUE
YAHOO/AMT,2.690268769,2520,TRUE,TRUE
YAHOO/AMZN,1.7555532293,2520,FALSE,FALSE
YAHOO/AN,-0.941243097,2520,FALSE,FALSE
YAHOO/AON,3.749037776,2520,TRUE,TRUE
YAHOO/APA,1.1503151982,2520,FALSE,FALSE
YAHOO/APC,0.9356765832,2520,FALSE,FALSE
YAHOO/APD,1.5726560106,2520,FALSE,FALSE
YAHOO/APH,2.1650210462,2520,TRUE,FALSE
YAHOO/ARG,1.4701499036,2520,FALSE,FALSE
YAHOO/ATVI,2.6149737575,2520,TRUE,TRUE
YAHOO/AVB,5.4011753044,2520,TRUE,TRUE
YAHOO/AVY,1.376289856,2520,FALSE,FALSE
YAHOO/AXP,3.0806714306,2520,TRUE,TRUE
YAHOO/AZO,2.6314972311,2520,TRUE,TRUE
YAHOO/BA,-0.1297099248,2520,FALSE,FALSE
YAHOO/BAC,-0.0198903044,2520,FALSE,FALSE
YAHOO/BAX,0.9607656574,2520,FALSE,FALSE
YAHOO/BBBY,2.8487186367,2520,TRUE,TRUE
YAHOO/BBT,3.1350511352,2520,TRUE,TRUE
YAHOO/BBY,-0.0448144332,2520,FALSE,FALSE
YAHOO/BCR,2.8566744051,2520,TRUE,TRUE
YAHOO/BDX,2.5796657249,2520,TRUE,FALSE
YAHOO/BEN,3.1753422025,2520,TRUE,TRUE
YAHOO/BF_B,3.3646667445,2520,TRUE,TRUE
YAHOO/BHI,1.053152496,2520,FALSE,FALSE
YAHOO/BIIB,3.1196365657,2520,TRUE,TRUE
YAHOO/BK,4.412134719,2520,TRUE,TRUE
YAHOO/BLK,2.8933588162,2520,TRUE,TRUE
YAHOO/BLL,1.5481934091,2520,FALSE,FALSE
YAHOO/BMY,2.1599560265,2520,TRUE,FALSE
YAHOO/BRK_B,0.6741165907,2520,FALSE,FALSE
YAHOO/BSX,1.7691707453,2520,FALSE,FALSE
YAHOO/BWA,0.3264324206,2520,FALSE,FALSE
YAHOO/BXP,5.7176527094,2520,TRUE,TRUE
YAHOO/C,-1.0039442071,2520,FALSE,FALSE
YAHOO/CA,2.4414892381,2520,TRUE,FALSE
YAHOO/CAG,1.0509305204,2520,FALSE,FALSE
YAHOO/CAH,1.4221953614,2520,FALSE,FALSE
YAHOO/CAM,1.6416424031,2520,FALSE,FALSE
YAHOO/CAT,-0.4686210901,2520,FALSE,FALSE
YAHOO/CB,3.1518830557,2520,TRUE,TRUE
YAHOO/CBG,2.756908671,2520,TRUE,TRUE
YAHOO/CBS,0.569400058,2520,FALSE,FALSE
YAHOO/CCE,0.8370286644,2520,FALSE,FALSE
YAHOO/CCI,-0.4238168889,2520,FALSE,FALSE
YAHOO/CCL,2.0457133476,2520,TRUE,FALSE
YAHOO/CELG,3.4343998958,2520,TRUE,TRUE
YAHOO/CERN,1.6235842983,2520,FALSE,FALSE
YAHOO/CF,1.0145365858,2520,FALSE,FALSE
YAHOO/CHD,2.1483885031,2520,TRUE,FALSE
YAHOO/CHK,0.447629915,2520,FALSE,FALSE
YAHOO/CHRW,3.7760359651,2520,TRUE,TRUE
YAHOO/CI,1.1518795852,2520,FALSE,FALSE
YAHOO/CINF,4.8924346993,2520,TRUE,TRUE
YAHOO/CL,2.5887866527,2520,TRUE,TRUE
YAHOO/CLX,3.7317439497,2520,TRUE,TRUE
YAHOO/CMA,2.2333268472,2520,TRUE,FALSE
YAHOO/CMCSA,2.2400297441,2520,TRUE,FALSE
YAHOO/CME,1.7947681887,2520,FALSE,FALSE
YAHOO/CMG,-0.0599030631,2520,FALSE,FALSE
YAHOO/CMI,2.0564296795,2520,TRUE,FALSE
YAHOO/CMS,1.256789466,2520,FALSE,FALSE
YAHOO/CNP,0.9912891585,2520,FALSE,FALSE
YAHOO/CNX,0.2770983823,2520,FALSE,FALSE
YAHOO/COF,1.737090233,2520,FALSE,FALSE
YAHOO/COG,1.0390443375,2520,FALSE,FALSE
YAHOO/COH,-0.1509851084,2520,FALSE,FALSE
YAHOO/COL,1.3935140667,2520,FALSE,FALSE
YAHOO/COP,1.8611243208,2520,FALSE,FALSE
YAHOO/COST,2.1372974028,2520,TRUE,FALSE
YAHOO/CPB,1.0951143837,2520,FALSE,FALSE
YAHOO/CRM,2.1380015482,2520,TRUE,FALSE
YAHOO/CSCO,2.4236174392,2520,TRUE,FALSE
YAHOO/CSX,1.582141473,2520,FALSE,FALSE
YAHOO/CTAS,1.3960097198,2520,FALSE,FALSE
YAHOO/CTL,2.1951607641,2520,TRUE,FALSE
YAHOO/CTSH,3.0488995467,2520,TRUE,TRUE
